"id","score","address","name"
"ea19a7b7-1f06-43ac-89e1-b2abe78d0484","1","46 Fudogqah Views","Kathleen Bates"
"bca0995b-32a2-41ae-b6b8-f1c7165d0218","8","9898 Oyminap Crossroad","Fabian Castillo"
"a01e1b2c-3df1-49d0-9411-efaae753a105","4","110 Iyagyu Vis","Pablo Jones"
"8dc2b9d2-9415-4987-850d-d27b6629f3f4","1","892 Cisavqawnuwaw Groves","Ibrahim Pierce"
"5b60c2e2-a5a4-4ea5-b252-364d9b4b3063","0","94634 Ponevowroyo Common","Devan Lamb"
"65a9466c-0c07-4e89-bb12-622cd6132948","2","831 Newrow Ways","Graham Kelly"
"cc5cf429-cd19-4435-a029-0b166e9f243c","4","8243 Duebxo Bluffs","Adrianna Dixon"
"6c980972-f4c4-49f3-ad0c-3f95c839c398","0","404 Doxagif Lgt","Branson Cruz"
"69323be0-44da-4e8c-a5a8-862f0333d654","9","996 Zajjifhudhusit Greens","Sharon Bernard"
"462c9525-b32a-4da6-b803-200f468100d0","4","34 Xuyaic Walks","Kailyn Cook"
"eaeefcdb-2974-4e15-b096-054d22642da1","0","7277 Ifaydedof Bch","Estrella Small"
"47fd63e4-2dd5-487c-be2c-836c841ae510","6","13347 Samubdieruc Fork","Kobe Mason"
"c9d2c3d1-9b8d-4d96-9aee-8efb6590518c","4","585 Sayal Fields","Griffin Turner"
"b6f85146-4568-4242-b940-d143af173905","3","2852 Qaqitavya Islands","Zack Jenkins"
"ad789684-21e0-4eb9-802a-a79bfe5db03f","7","4710 Jogeopnadof Ford","Chaya Moran"
"ee1e53f5-4283-4a55-bcb7-9ed33039d8e1","0","9058 Dezev Mntns","Virginia Sloan"
"ced49de9-b40e-4c3e-a0fd-99967ee57218","7","751 Yajiaj Plains","Lilliana Melton"
"64574a11-8dcb-4835-bdf8-bf61ace69444","8","382 Debadupuyuq Div","Keenan Ryan"
"df3516a2-cd7e-4487-903d-41472ff39f7e","6","90379 Ucuf Loop","Karson Schmitt"
"d03be570-8f53-4810-83fb-ae5618b45eec","2","81534 Vieq Court","Chaya Henderson"
"3ae6c6f8-4561-460e-87be-de377683822b","2","45562 Fohve Land","Hezekiah Scott"
"deea3c72-5eb0-4071-af2e-282900989cf5","4","839 Eyoh Commons","Bridger Hunt"
"8b96db8e-ad11-4772-b44d-c021f4557e33","3","743 Upagmudqob Ranch","Landyn Jensen"
"c3c024f7-316b-4ced-8641-53180bbde4fd","8","648 Tuhujsig Overpass","Carolyn Floyd"
"94122f90-0178-40fa-9cb2-cac907c94e86","4","1326 Dolka Rue","Ryan Cooper"
